Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_close,DJ_open,DJ_high,DJ_low,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Price,OS_Open,OS_High,OS_Low,OS_Trend,SF_Price,SF_Open,SF_High,SF_Low,SF_Volume,SF_Trend,USB_Price,USB_Open,USB_High,USB_Low,USB_Trend,PLT_Price,PLT_Open,PLT_High,PLT_Low,PLT_Trend,PLD_Price,PLD_Open,PLD_High,PLD_Low,PLD_Trend,RHO_PRICE,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Trend,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_Adj Close,GDX_Volume,USO_Open,USO_High,USO_Low,USO_Close,USO_Adj Close,USO_Volume
14-03-2025,36.20201166,36.38399731,35.88591027,36.10071871,36.10071871,1830575.252,11206.17892,11260.11085,11134.3714,11198.28939,11198.28939,267349792.1,37239.14431,37272.75048,37452.06284,37030.96241,37239.14431,14175272.37,239.6180791,243.5431396,235.1968254,239.2691283,239.2691283,11131090.16,94.583,94.335,94.8575,94.149,0,70.58,70.16,70.75,69.93,238550,0,66.91,66.48,67.19,66.33,0,34.433,34.505,34.86,34.14,60180,0,7.419222546,7.423137338,7.43048108,7.410054247,0.469171739,1013.2,1010.4,1022.6,1005.5,0,6882.986076,6887.293165,6967.755443,6804.124304,0.49443038,10415.88978,86.941,86.923,87.004,86.871,22850,0,58.00504315,59.61624595,56.4724164,57.84693635,57.84693635,301016.4806,107.8946053,110.3248074,105.4437695,107.6447419,107.6447419,1566907.97
13-03-2025,73.49,74.05333333,73.46666667,73.81666667,73.81666667,3625516.667,22541.5,22558.05,22377.35,22397.2,22397.2,287540000,73828.91,74392.54,74401.11,73770.59,73828.91,9900000,447.9,450,442,442.95,442.95,5050000,94.301,94.8995,95.014,94.2055,0,69.88,70.95,71.25,69.66,331690,0,66.27,67.38,67.65,66.08,0,34.306,33.725,34.68,33.435,74490,0,6.69,6.696,6.698,6.68,0,1006,996.3,1011.9,976.2,0,7832,7786,7848,7756,0,10110,86.897,87.153,87.201,86.923,13150,0,399.8,404,382.95,386.15,386.15,691510,130.39,132.55,128.68,132.2,132.2,1590000
12-03-2025,73.43666667,73.77333333,73.00666667,73.23,73.23,3490000,22536.35,22577.4,22329.55,22470.5,22470.5,369740000,74029.76,74270.81,74392.15,73598.16,74029.76,13850000,444.9,448.35,437.9,444.95,444.95,5120000,94.871,95.222,95.322,94.817,1,70.95,69.95,71.1,69.48,273310,1,67.38,66.31,67.53,65.83,1,33.743,33.375,33.815,33.18,57660,0,6.68,6.703,6.703,6.678,0,995.8,985.2,1003.8,984.7,0,7800,7890,7890,7770,0,10052,87.15,87.183,87.311,87.149,970,1,411.45,413.85,392.8,396.4,396.4,697620,129.49,131.79,128.7,129.75,129.75,1470000
11-03-2025,73.3,73.45,72.37333333,73.04666667,73.04666667,2825060,22345.95,22522.1,22314.7,22497.9,22497.9,347920000,74102.32,73743.88,74195.17,73663.6,74102.32,11680000,428.5,443.2,426,441.55,441.55,6290000,95.179,94.581,95.466,94.5375,1,69.56,69.05,70.44,68.63,282860,0,65.93,65.6,66.79,65,0,33.147,32.46,33.445,32.215,57930,0,6.69,6.717,6.717,6.687,1,979.6,964.5,990.5,956.4,0,7860,7804,7880,7780,1,10056,87.176,87.332,87.39,87.141,22950,1,397.8,410,389,406.7,406.7,1010000,128,129.8,126.03,127.91,127.91,1190000
10-03-2025,73.46,73.62666667,72.90666667,73.15,73.15,3156776.667,22521.85,22676.75,22429.05,22460.3,22460.3,293860000,74115.17,74474.98,74741.25,74022.24,74115.17,6590000,445.45,451.8,436.15,437.4,437.4,6430000,94.553,94.3835,94.9445,94.311,0,69.28,70.49,70.88,69.05,275180,0,65.68,66.78,67.24,65.45,0,32.53,32.945,33.15,32.28,51810,0,6.7,6.714,6.714,6.687,1,966.8,969.9,982.4,961.5,0,7812,7922,7922,7802,0,9957,87.29,87.139,87.381,87.138,24140,1,392.45,420,384.05,404.75,404.75,2200000,131.6,132.95,128,129.06,129.06,972910
07-03-2025,73.48333333,73.52,72.88333333,73.20333333,73.20333333,4393256.667,22508.65,22633.8,22464.75,22552.5,22552.5,289770000,74332.58,74347.14,74586.43,74038.03,74332.58,6900000,442.85,450.1,441.6,445.45,445.45,7860000,94.347,93.8625,94.815,93.8365,0,70.36,69.43,71.4,69.3,395500,1,67.04,66.34,68.22,66.12,1,32.809,33.21,33.31,32.56,59370,1,6.68,6.682,6.69,6.682,0,966.5,979.8,987.2,964.5,0,7940,7960,7986,7934,1,10054,87.1,87.149,87.22,86.857,13240,0,388.95,397.25,384.3,389.35,389.35,831110,131.93,133.47,130.32,131.17,131.17,1370000
06-03-2025,74.4,74.43333333,72.84333333,72.95666667,72.95666667,4925206.667,22476.35,22556.45,22245.85,22544.7,22544.7,372080000,74340.09,74308.3,74390.8,73415.68,74340.09,10080000,434,446.85,431.25,442.95,442.95,13000000,93.824,93.759,94.4555,93.697,0,69.46,69.43,69.9,68.74,409420,0,66.36,66.39,67.09,65.59,0,33.338,33.235,33.38,32.86,51410,1,6.68,6.686,6.694,6.68,0,979.7,976.9,989.2,966.8,1,7980,8016,8016,7972,1,10069,87.011,86.872,87.166,86.868,7170,0,397.95,399.75,386.1,388.7,388.7,727670,130.99,132.97,130.37,130.87,130.87,1640000
05-03-2025,74.27666667,74.29333333,73.01666667,73.26666667,73.26666667,7851743.333,22073.05,22394.9,22067.8,22337.3,22337.3,305940000,73730.23,73005.37,73933.8,72894.05,73730.23,9250000,400.9,430.4,400.9,428.95,428.95,14320000,93.726,92.7505,93.82,92.429,0,69.3,71.02,71.18,68.33,473000,0,66.31,68.08,68.1,65.22,0,33.134,32.56,33.31,32.395,65240,0,6.71,6.757,6.757,6.709,1,974.8,971.4,985,965.9,0,7978,7958,8012,7930,0,9964,86.88,87.271,87.346,86.876,5660,0,372.1,393.9,372.1,391.4,391.4,890540,125.09,128.55,125.09,127.8,127.8,831470
04-03-2025,73.36666667,73.55666667,72.56,73.44,73.44,4313873.333,21974.45,22105.05,21964.6,22082.65,22082.65,253260000,72989.93,72817.34,73033.18,72633.54,72989.93,6220000,401.15,409.3,394.8,406.75,406.75,7080000,92.7,91.5245,92.764,91.424,0,71.04,71.3,71.36,69.75,505150,1,68.26,68.46,68.56,66.77,1,32.381,32.265,32.66,32.03,50890,0,6.74,6.736,6.745,6.721,1,971.9,970,975.1,960.3,0,7978,7956,8064,7956,0,9866,87.255,87.334,87.408,87.134,21110,1,353.85,382.5,352,372.1,372.1,1400000,121,125.4,120.2,124.26,124.26,940070
03-03-2025,72.74666667,72.76333333,71.70666667,72.39,72.39,5247673.333,22194.55,22261.55,22004.7,22119.3,22119.3,282400000,73085.94,73427.65,73649.72,72784.54,73085.94,10110000,399.95,411.25,389.2,409.15,409.15,11000000,91.501,90.8125,91.6745,90.7575,0,71.62,73.04,73.67,71.17,413710,1,68.37,69.95,70.6,67.89,1,32.31,31.715,32.49,31.635,62260,0,6.73,6.789,6.789,6.729,0,971.9,947.1,979.3,946.5,0,8010,8030,8080,7992,1,9897,87.26,87.449,87.449,87.239,15450,1,361,372,339.1,357.7,357.7,1440000,121.99,123.41,117.06,121.97,121.97,2270000
28-02-2025,73.59666667,73.59666667,71.24333333,72.19,72.19,11647190,22433.4,22450.35,22104.85,22124.7,22124.7,551290000,73198.1,74201.77,74282.43,73141.27,73198.1,9080000,400,400.9,392.35,394.75,394.75,13630000,90.746,90.825,91.099,90.567,0,73.18,73.72,73.84,72.97,16150,1,69.76,70.17,70.29,69.14,1,31.496,31.855,31.93,31.365,54600,0,6.72,6.709,6.731,6.706,0,937.9,952.6,955.7,936.7,0,8056,8100,8152,8050,1,10015,87.466,87.32,87.559,87.266,12440,1,368.45,383.75,359.8,366.5,366.5,1350000,124,125,120.55,121.57,121.57,1210000
27-02-2025,74.46,74.51,72.52,72.84333333,72.84333333,10530000,22568.95,22613.3,22508.4,22545.05,22545.05,289230000,74612.43,74706.6,74834.09,74520.78,74612.43,6740000,409,412.5,400.65,404.55,404.55,9800000,90.797,91.3625,91.554,90.8075,1,74.04,72.7,74.26,72.49,78870,1,70.35,68.82,70.54,68.61,1,32.11,32.535,32.595,31.765,63240,1,6.71,6.7,6.712,6.699,0,957.7,975.6,982.7,951.8,1,8146,8114,8152,8084,1,9998,87.33,87.108,87.427,87.106,20040,0,395.95,396.25,369.2,373.7,373.7,837470,126.3,127.69,124.41,125.49,125.49,1230000
