Date,price
03-05-2025,81.23
04-05-2025,81.55
05-05-2025,81.88
06-05-2025,81.12
07-05-2025,82.35
08-05-2025,82.18
09-05-2025,80.95
10-05-2025,81.05
11-05-2025,81.42
12-05-2025,82.9
13-05-2025,83.2
14-05-2025,84.55
15-05-2025,82.8
16-05-2025,83.68
17-05-2025,83.3
18-05-2025,83.95
19-05-2025,81.8
20-05-2025,81.05
21-05-2025,80.5
22-05-2025,78.88
23-05-2025,79.15
24-05-2025,79.35
25-05-2025,79.1
26-05-2025,80.85
27-05-2025,80.92
28-05-2025,79.25
29-05-2025,81.65
30-05-2025,79.88
31-05-2025,80.05
01-06-2025,81.8
02-06-2025,81.5
